id,id_android,speed,time,distance,rating,rating_bus,rating_weather,linha,car_or_bus
1,0,19.2105856218409,8.27,2.6519999999999997,3,0,0,no_answer,1
2,0,30.848229110141002,10.22,5.29,3,0,0,no_answer,1
3,1,13.5601009375705,3.9,0.9179999999999999,3,0,0,no_answer,0
4,1,19.7666790267834,27.18,7.7,3,0,0,no_answer,0
8,0,25.8074009208982,1.73,3.995,2,0,0,no_answer,1
10,2,1.34691332363334,0.17,0.009000000000000001,2,0,0,no_answer,1
11,3,36.8507874006155,13.47,8.402000000000001,3,0,0,no_answer,1
12,1,17.4051312905583,2.3,0.675,3,0,0,no_answer,0
13,1,15.395436139699699,31.52,8.111,3,0,0,no_answer,0
16,3,15.041348024653301,13.05,3.2769999999999997,3,0,0,no_answer,1
18,1,16.3567325479505,4.6,1.26,2,0,0,no_answer,0
20,4,9.451815572371991,16.57,2.616,2,0,0,no_answer,1
22,4,16.2635039490851,26.8,7.334,2,0,0,no_answer,1
23,4,21.2235944272772,17.3,6.149,3,0,0,no_answer,1
24,4,19.4236545402881,14.02,4.595,2,0,0,no_answer,0
28,3,8.68613764219664,29.85,4.364,3,0,0,no_answer,1
30,3,54.9959473181491,59.67,55.77,3,0,0,no_answer,1
33,1,12.611044809338699,34.6,7.303,2,0,0,no_answer,0
34,3,14.534287200101199,4.65,1.149,3,0,0,no_answer,1
35,3,10.2882266731803,19.33,3.2760000000000002,3,0,0,no_answer,1
36,3,18.328189136729602,7.68,2.4,3,0,0,no_answer,1
37,1,17.1776350229212,9.87,2.853,3,0,0,no_answer,1
38,1,17.0978233675256,8.08,2.278,3,0,0,no_answer,1
41,1,21.513801773291103,39.42,14.14,2,0,0,no_answer,1
42,1,27.5257702575601,17.17,8.048,3,0,0,no_answer,1
43,1,28.104520679060997,16.53,7.773,3,0,0,no_answer,1
44,3,22.322462499663402,4.93,1.8419999999999999,3,0,0,no_answer,1
46,3,32.3773039972723,12.33,5.381,3,0,0,no_answer,1
47,1,22.377924518791104,20.82,7.769,2,0,0,no_answer,1
48,1,24.908255870418202,15.85,6.597,2,0,0,no_answer,1
49,5,37.1409017347196,30.0,18.602,3,0,0,no_answer,0
51,2,72.92675452038,0.37,0.6609999999999999,1,0,0,no_answer,0
54,1,0.0663753526190608,0.67,0.001,2,0,0,no_answer,1
55,1,83.32813505783359,4.98,6.976,3,0,0,no_answer,1
58,6,96.20602881735729,20.68,33.739000000000004,2,0,0,no_answer,0
61,1,3.23767476085357,0.55,0.033,2,0,0,no_answer,0
63,1,0.582100412321125,0.17,0.002,2,0,0,no_answer,0
65,1,1.3868378812199,0.55,0.006,2,0,0,no_answer,0
