id,latitude,longitude,track_id,time
1,-10.9393413858164,-37.0627421097422,1,2014-09-13 07:24:32
2,-10.939341385769,-37.0627421097809,1,2014-09-13 07:24:37
3,-10.939323947871802,-37.062764513721206,1,2014-09-13 07:24:42
4,-10.9392105616561,-37.0628430455445,1,2014-09-13 07:24:47
5,-10.9389389789911,-37.062878598411295,1,2014-09-13 07:24:53
6,-10.938543591151399,-37.06283866313579,1,2014-09-13 07:24:59
7,-10.938346057650499,-37.062587562702106,1,2014-09-13 07:25:04
8,-10.938448445505099,-37.061999825152796,1,2014-09-13 07:25:10
9,-10.9386660746204,-37.0614989339645,1,2014-09-13 07:25:15
10,-10.938986228461301,-37.0608192197261,1,2014-09-13 07:25:21
11,-10.939342913189199,-37.0600866959415,1,2014-09-13 07:25:27
12,-10.9396414360875,-37.0595030996298,1,2014-09-13 07:25:32
13,-10.9398579141531,-37.0591213205945,1,2014-09-13 07:25:38
14,-10.940077290201799,-37.058729003239606,1,2014-09-13 07:25:43
15,-10.940389102130599,-37.058290875714896,1,2014-09-13 07:25:49
16,-10.940746380604699,-37.0579922269229,1,2014-09-13 07:25:54
17,-10.941179393612401,-37.0576397274353,1,2014-09-13 07:26:00
18,-10.9414799027875,-37.0573913752163,1,2014-09-13 07:26:06
19,-10.941532508608,-37.0573457786884,1,2014-09-13 07:26:12
20,-10.941532508608,-37.0573457786884,1,2014-09-13 07:26:18
21,-10.941532508608,-37.0573457786884,1,2014-09-13 07:26:23
22,-10.941532508608,-37.0573457786884,1,2014-09-13 07:26:28
23,-10.941532508608,-37.0573457786884,1,2014-09-13 07:26:33
24,-10.941532508608,-37.0573457786884,1,2014-09-13 07:26:38
25,-10.941532508608,-37.0573457786884,1,2014-09-13 07:26:44
26,-10.941532508608,-37.0573457786884,1,2014-09-13 07:26:49
27,-10.9415422095559,-37.05733795467,1,2014-09-13 07:26:55
28,-10.941742265885901,-37.05716593043461,1,2014-09-13 07:27:00
29,-10.9421000724016,-37.056833161463,1,2014-09-13 07:27:06
30,-10.9424436046914,-37.0565510553466,1,2014-09-13 07:27:12
31,-10.942783282087,-37.056367219418604,1,2014-09-13 07:27:17
32,-10.943048396907198,-37.056200789126294,1,2014-09-13 07:27:23
33,-10.943089625558901,-37.0558792710436,1,2014-09-13 07:27:28
34,-10.943157098505,-37.055288500500396,1,2014-09-13 07:27:34
35,-10.943313060320001,-37.054664512767,1,2014-09-13 07:27:39
36,-10.9434934531745,-37.053990627263296,1,2014-09-13 07:27:44
37,-10.9437307342081,-37.0531333557592,1,2014-09-13 07:27:50
38,-10.9439490705934,-37.05233638945639,1,2014-09-13 07:27:56
39,-10.9440888068829,-37.051916335502,1,2014-09-13 07:28:01
40,-10.9441134427653,-37.051844717417005,1,2014-09-13 07:28:06
41,-10.944164660116598,-37.0516450552908,1,2014-09-13 07:28:12
42,-10.9442224036202,-37.051278190061396,1,2014-09-13 07:28:18
43,-10.944110383763,-37.051043542521704,1,2014-09-13 07:28:23
44,-10.9437149513471,-37.0510003278261,1,2014-09-13 07:28:28
45,-10.943191786904901,-37.0509992649818,1,2014-09-13 07:28:34
46,-10.9426620243735,-37.0509779955345,1,2014-09-13 07:28:40
47,-10.9422370402321,-37.050899772868,1,2014-09-13 07:28:45
48,-10.9418834994225,-37.0507762933952,1,2014-09-13 07:28:50
49,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:28:56
50,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:29:02
51,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:29:08
52,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:29:13
53,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:29:18
54,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:29:24
55,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:29:30
56,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:29:36
57,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:29:42
58,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:29:47
59,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:29:52
60,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:29:57
61,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:30:03
62,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:30:09
63,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:30:14
64,-10.9416974315862,-37.0507029806928,1,2014-09-13 07:30:20
65,-10.941473273847699,-37.05058755456479,1,2014-09-13 07:30:26
66,-10.941382259491698,-37.0501867793554,1,2014-09-13 07:30:32
67,-10.941664398163303,-37.0497713582489,1,2014-09-13 07:30:37
68,-10.941952547707,-37.0493938857767,1,2014-09-13 07:30:42
69,-10.942281490734,-37.048980694470295,1,2014-09-13 07:30:47
